,fens,eval_move_final,preds_num
5787150,2kr4/2q5/p3pQ1B/1pnb1p2/1R5P/P2B2p1/1PP1R1n1/2K5 w - - 5 40,0.0,203.95238
13497132,6rk/1pb3pp/8/2P1n1NQ/pP6/P3n1P1/1B3R1P/1q3BK1 w - - 10 31,0.0,198.1041
3306499,3r2n1/1k1b4/1p3P2/1P1pP1P1/5q2/3B1N1r/4QK2/1R4R1 b - - 2 33,1.0,193.39027
288931,1r2Rb2/4Np1k/5Qpp/nr6/5P2/P1P3q1/1P6/KB2R3 b - - 10 37,0.0,191.65048
8200304,r5k1/q2n2bp/1p1BNpp1/3B4/r1P2Q2/1R6/P4PPP/3b2K1 b - - 1 24,0.0,188.95235
3983559,5rk1/pR6/3p2p1/1P1P1qN1/P2npr2/2R2P1P/6QK/8 w - - 0 38,0.0,186.68398
2904155,8/5rkp/1NPq2p1/1P6/P3ppPQ/6n1/6PK/4R3 w - - 0 38,0.97,184.71175
9012382,2r1k1r1/2q2p1R/p3p1P1/5p2/npnB4/1N6/P1P3Q1/1K2R3 b - - 0 30,0.0,184.01309
6746800,2r2rk1/1bq3b1/p2pp2Q/1pn4P/n2NpN2/3B1P2/PPPR4/1K4R1 b - - 1 25,0.0,182.76143
11511661,4r1k1/p4pp1/bn2p3/3pP1NP/3QnB2/1P2R2B/P4P1K/2q5 b - - 2 29,0.0,182.75218
9393679,2b2rk1/6p1/3p4/1Q2n1qP/4pN2/1P4rP/P1P2RB1/3R1K2 w - - 0 28,0.0,182.31474
922556,2qr4/2r1ppk1/5np1/p2PR1Qp/1p3N1R/1P1n1NP1/P4PKP/8 b - - 3 27,0.0,181.9295
6484424,3r2k1/5N2/1pq3p1/nr1nR3/4N3/2PQ2P1/5P2/B5K1 b - - 2 33,0.0,181.33119
261184,4r1k1/p6p/5npB/QNq5/2PN1p2/1P2r1bb/P2RP3/2K3R1 w - - 2 33,0.332,180.62067
2250077,1r4k1/6p1/4R1b1/p1N4p/3P4/2q4P/P2R1QPK/1r6 b - - 0 33,0.0,180.13551
2640634,r4rk1/4ppnp/b2q1npQ/p2P2N1/6PN/1B2R2P/5P2/1R4K1 b - - 2 35,0.326,179.9962
3746905,5rk1/4qbpp/3R4/1P2np2/3Q1N1b/1P6/2rNBnPP/2B2RK1 b - - 0 21,0.0,179.63052
408348,1r5k/1r4b1/4PnRp/p2p1P2/5p2/1BN1q2P/PP6/1K3QR1 w - - 6 31,0.37200000000000005,179.45033
5313258,8/3q2kp/1PpNn1p1/2PbR3/r6P/6Q1/5PPK/8 b - - 0 35,0.08800000000000001,179.34212
13916229,7k/1p1qnr1p/4R1nB/3p1pPN/3P4/pP3NQK/Pb2R2P/2r5 b - - 13 33,1.0,179.23148
10870109,2k4r/1b1r1ppn/3bp2p/pQ1p4/P1PN2q1/1B2R1P1/1P2NP2/3R2K1 b - - 0 24,0.0,179.10416
3675583,2r3k1/2P2pp1/1b6/p1qP3Q/3n4/6B1/B4PKP/1R6 b - - 0 40,0.0,178.42134
11235275,r6k/3n2bp/1p1BNpp1/q2B4/2P2Q1P/4R3/r1b2PP1/6K1 b - - 2 28,0.0,178.03674
2391203,1r1n2kb/3n1p1p/bq2p1pB/p3P1N1/3R1QNP/1rpp2P1/RP3PB1/6K1 b - - 1 26,0.0,177.83888
13688204,3r4/p6R/3q4/2nk1p1B/1p2p3/6Q1/PPP5/2K5 w - - 5 39,0.0,177.54439
866197,2k1r3/1bnRb3/2p1PpQ1/2q2N1p/4B3/2p3P1/5P1P/6K1 b - - 1 32,0.888,176.89917
12519993,1r5r/p1p3k1/3qPp2/3Pn1p1/B1PQ1p1p/PP3P2/4K1R1/R7 w - - 0 32,0.4,176.82181
8225190,r1r3k1/3R2pp/4n3/1P5q/4b3/B3NpP1/PQ2nP1P/R4B1K b - - 7 30,0.33,176.43138
10819574,4r1k1/1b1q1p1n/3p2pB/R2P3N/1P2PQ2/1p3N1P/1br3P1/1R5K b - - 0 33,0.156,175.8233
9123117,5k2/1R3p2/2p3rp/p2pPq1p/P2Pb1rP/2R2NP1/4QP1K/8 w - - 0 33,0.28600000000000003,175.6378
2343944,1r5k/2Qbb1pp/B6n/1P1pPr2/N5p1/q7/4RR1P/B5K1 w - - 0 34,0.0,175.6247
9815372,3k2bb/1pp1r2p/n1q2n1P/pN1p1BN1/P2P1QP1/1PP2R2/5PK1/8 b - - 8 33,0.0,174.54445
13532342,2b2rk1/5p1p/4nPpQ/4q2n/4N2P/8/1p3RB1/1R4K1 w - - 1 33,0.0,173.6742
12754980,1qk5/1p1r2b1/RRp4p/BnPrp3/2Q5/3N1P2/PP6/1K6 b - - 4 36,0.0,173.42305
6330614,3r3k/pq4pp/1n6/6N1/2P4b/P1QpBPR1/5P1P/1R3b1K b - - 5 31,0.0,173.24417
9057509,b1r3k1/1q3p2/pp5p/3n1PpQ/P7/4bNPK/BB5P/5R2 w - - 0 30,0.25,173.1516
11225411,3r1rqk/1pQ4p/5b2/p2pNn1P/4pP2/6P1/PP4K1/1BBRR3 w - - 5 32,0.462,173.09486
13027988,8/1pr2pkp/1n1b1Np1/qPN5/p2PP3/6P1/1QR2P1P/6K1 b - - 0 35,0.104,173.0735
2917753,6k1/2r5/p2qPnp1/n2P1pNp/2pQ3R/2N2KPP/1r6/3R4 b - - 8 38,0.0,173.0593
6513872,6r1/pb1q1kr1/1p1P1ppQ/n3p3/2p1PP1N/6R1/6P1/1B3RK1 b - - 0 31,0.0,172.78134
8780976,4k1r1/pb1q2r1/1p1P1RPQ/4p3/2pnP2N/6R1/6P1/1B4K1 b - - 0 34,1.0,172.37157
1659263,k5rr/2bN1R1p/p3p2Q/2K2p2/1p2q3/1B1R1b2/1PP2P2/8 b - - 11 36,0.0,172.0925
3536259,q5k1/4bpp1/6r1/2NnB3/PPQP4/2p3Pp/4KP2/4R3 w - - 0 37,0.312,172.07323
12881073,6rk/4Bpb1/p7/3P1B1K/2P1Q2P/8/Pr5q/4R3 b - - 2 38,0.34400000000000003,171.89943
7347182,8/4k3/3rp1r1/P2pRp1p/B2Qb2P/6q1/1PP5/1K1R4 b - - 3 39,0.166,171.78583
3057390,3r1rk1/1p4pp/1qnNR3/p2p4/Pn3BP1/5N1P/1bbQ1PB1/4R1K1 w - - 0 31,0.408,171.58769
4660940,3b1rk1/2q3p1/1n1N1p1p/3PP3/1ppQNP2/6R1/1P4KP/8 b - - 1 28,0.528,171.15851
7153563,2b1r3/5k1p/3pnnr1/Q7/PpP4q/1P2BR1B/4R2K/2N5 w - - 3 40,0.0,171.06541
2128140,3k1r2/1pq2P1p/p3B1pP/3P4/r1P5/1R2Q3/1P6/1K6 b - - 0 40,1.0,170.5478
2928302,6kr/3nBpb1/1n1P3p/2p2Q2/qp4R1/3R1N1P/1r3PP1/6K1 b - - 1 27,0.0,170.35548
8734900,3r1k2/2rP2pp/8/p1nRNp2/1qB1p3/4P1P1/P4P1P/Q5K1 b - - 6 35,1.0,170.23755
6078301,5k2/R2n1p2/1pNpP2n/2rP1q2/5P1p/2N1Q1pP/2P5/6K1 b - - 0 30,0.0,170.09772
10299153,2r5/1p1R2rk/pB2p2p/4bp2/P1P1bN1P/1Pq1Q3/7K/5R2 w - - 4 34,0.0,169.77237
12592785,1k5r/1p3Rp1/4p1n1/pPP1P1q1/3Pn1r1/1Q1R2NP/6B1/7K b - - 2 33,0.938,169.24826
5577076,2q5/5pk1/6p1/p3p3/4P1Pb/2Pr2NK/QP1r4/R5R1 w - - 2 40,0.0,168.92702
6794798,1r2Rb2/4Np1k/6pp/nr6/3Q1P2/P1P3q1/1P6/KB2R3 w - - 9 37,0.0,168.90451
8949510,bbrk2r1/p2p3p/5p1N/2pqn1pP/2n3P1/3NP2Q/P4P2/BBRK2R1 w - - 4 20,0.0,168.7308
13562915,k1b2N1r/3n3p/1q6/p2pPPBP/1p1P1Q2/nPr4B/2P3RK/2R5 b - - 0 35,0.0,168.4041
10756081,r7/5pk1/3R2p1/4p1N1/1Pq3b1/2P5/r4PPP/2Q1R1K1 b - - 4 36,0.1,168.40158
5962733,4q1k1/pb1n3r/5Pp1/3nP3/Np1R4/1P3NQ1/P1r3P1/4R1K1 b - - 2 33,0.35200000000000004,168.05219
1147124,3r3k/1pp4p/2n3p1/p3PrNn/3pQB1R/P5P1/1qPK4/4R3 w - - 0 28,0.0,167.94211
2548786,r4r2/2q2p1k/2p2n2/2bbN1R1/Pp2p2p/1P5P/1BP1Q1PK/5R2 b - - 3 29,0.0,167.49738
3212168,8/1p2qpk1/6p1/P3r3/2Q5/2P2p2/1KPRnR2/8 w - - 0 38,0.0,167.11015
11242759,b3q2k/5rp1/pR4Q1/2P1p3/p1P1np1B/7P/7K/6R1 w - - 4 38,0.0,167.07599
9992671,5r1k/pp5n/3p4/1B1Pp3/1P2P1q1/P3RpBp/7Q/4K3 w - - 3 39,0.368,166.90031
12328417,rnb1k1nr/ppp2ppp/8/3pp3/N3q3/1K6/PPPP2PP/R1BQ1BNR b kq - 1 8,0.9359999999999999,166.77655
879971,1r6/kp4R1/p1r1qP2/4p2p/2npN3/P4Q2/1PP4P/2K1R3 w - - 7 37,0.0,166.66881
7563367,1r4k1/2pb2b1/p2p1nBP/1p1Pq1B1/2P2pP1/P1N1rp2/1P1Q4/2K3RR w - - 1 28,0.0,166.5627
11266922,6k1/3q4/3P4/2P1p2p/1p2Br2/3PQ3/1P5K/8 b - - 0 34,0.0,166.38217
7182717,6k1/3qrp2/6pp/4b3/1p1B1n2/1NrB1R1P/1R1Q2P1/7K w - - 8 37,0.02,166.33896
1940898,3r1k2/5b2/3q2p1/P2Np1Q1/1p2P3/1P1n2PP/6BK/B7 b - - 2 38,0.18600000000000003,166.30328
5380899,2r3k1/rb2pp2/2n2Pp1/q5Bp/n3N2Q/1pp1PN1P/1b4P1/1BR2RK1 w - - 0 27,0.35200000000000004,166.3014
9101304,r2r3k/pb3Pp1/1p5p/3qP3/3n1nQ1/P5N1/1B3RPP/4R1K1 b - - 6 28,0.0,166.2846
10414443,5rk1/5qp1/p1P5/3PnQ2/4R3/1P5P/6r1/5R1K b - - 0 39,0.042,165.91371
11304889,5b2/1b3p1k/p2p1Pp1/q2n2Bp/Ppr3PQ/1p6/4NN1P/R4RK1 w - - 1 28,0.196,165.8805
2585469,1r1r2k1/1P3ppp/8/8/2R1P3/1P4Bn/2Qbq1PP/3R3K b - - 0 36,0.0,165.53474
8732647,1b6/5pk1/2R2rp1/pB1Pq3/P5Pp/4Pp1P/1P3Q2/6K1 w - - 3 35,0.0,165.45653
8720470,4r2k/pp6/6p1/6Rp/4qn1B/7P/PP2n2K/3RQ3 w - - 0 32,0.0,165.36758
4421815,2r4k/6bP/8/p1BPR3/q7/2p3rP/4Q3/2R4K w - - 1 38,1.0,165.07849
8964380,6r1/p2k1p1p/bp1Np1q1/2npP1B1/1Q3P2/1P1r3P/P5PK/R1R5 b - - 14 30,0.0,165.00284
8086310,5rk1/1b3qb1/p2R4/1p4Bn/2r2p1Q/P1N4P/1PP1N1P1/5R1K w - - 2 30,0.0,164.9647
11457487,2r1r1kb/5p1p/3p2pB/Rb1P2N1/2pqP1P1/3nR3/1P1Q1PP1/1B4K1 b - - 0 26,1.0,164.91745
7658784,3q2k1/p5bp/2Ppp1p1/4n3/6n1/1P3rN1/P2B1P2/1BRQ1RK1 w - - 0 25,0.0,164.89923
11310811,4qnk1/3b3n/p2b2rR/p1NPp1PR/4P3/4BP2/1PQ2K2/r4B2 b - - 12 30,0.0,164.70854
8122522,1kr5/2p3B1/2p1p2P/p3Pr2/3PQn2/P7/1R3PP1/3qN1K1 b - - 10 37,0.0,164.69238
1188823,5k2/2r2q1p/p1Pr1ppP/1bR5/1P3R2/3p2P1/3Q1PBK/8 b - - 3 39,0.8740000000000001,164.1039
12027825,4Qnk1/5pb1/1qN3pp/N2P4/Pp3B2/2rb2PB/1p3P1P/3R2K1 w - - 3 29,0.0,164.07999
8963155,r3k3/2q2p1R/pn1p2P1/1p1bbNP1/3n4/P1N4Q/1PPB4/2K5 b q - 4 26,0.0,163.97177
8929637,r1b2k2/1q2b1pQ/p4p1p/1p4r1/3B1n2/PP2N1NP/5PP1/2R1R1K1 b - - 5 28,0.374,163.85812
11646038,1rq2r1k/6pp/3Pb3/pB2n1P1/P1p1Pp2/6P1/2Q2BK1/3R3R w - - 2 37,0.0,163.74673
8946190,3R4/1b3k1p/1p1q2p1/p2P3n/P1p4Q/2B3PP/1P3rBK/8 b - - 4 36,0.0,163.699
2801332,5r2/p1q1ppk1/b1p2np1/4R1Q1/5N2/2p3PP/P1P2RBK/1r6 b - - 2 27,0.0,163.39278
4501967,3r4/4k3/4p1r1/P2pRp1p/3Qb2P/1B4q1/1PP5/1K1R4 b - - 1 38,0.87,163.13515
11566108,8/nbN4p/6pk/1P1P1p2/pbPN1p2/p6P/Q4PP1/4qBK1 b - - 1 34,0.0,162.96301
3423694,3q4/pR2p1k1/2Pp1pp1/P1bB3r/3n4/2Q1B1Pp/5P1P/7K w - - 2 28,1.0,162.82234
11831898,4q3/p1Q2r1p/4r2k/2R5/3P1pbN/4p3/PP5K/4R1B1 w - - 4 36,0.024,162.69843
9274027,4q3/2p3pk/R1n1r1bp/1pB5/3P1pPQ/2P1nB1P/1P1N3K/8 w - - 7 34,0.024,162.55324
5205491,2r3k1/1p4b1/1P1p4/3Pq2p/P1r4Q/R3Bp1P/N7/1R5K w - - 0 36,0.0,162.33739
3667658,r4k2/3RNp1p/p1P4P/1q6/1p1B4/1P6/P1P1b3/1K4R1 b - - 6 36,0.0,162.32388
9050530,7r/q2b2k1/p1p2R2/2n1pPP1/2Pp4/3P2N1/P3Q3/6K1 b - - 0 35,0.0,162.21071
6692031,2k2r2/2p3q1/1p6/pN1bN3/Pn1p2p1/5p2/1PP2QPP/5RK1 w - - 0 39,0.0,161.86107
1247637,2kr3r/1q1bp3/2p4n/2Q3BP/P1n1N2R/1B6/1bP2PP1/1K1R4 b - - 3 24,0.0,161.82587
8818269,8/5pk1/R7/p2pr1p1/q1rN2P1/5P2/3QnK2/3R4 w - - 5 39,0.0,161.7994
11345202,1r4k1/8/p3pPp1/6pp/2pR1P2/5qP1/nPPK3Q/3R4 w - - 4 29,0.0,161.74574
3253508,r4k2/Q4n1p/1P1p4/3qpP1n/2p1N2b/4B1NP/5P1K/1R6 b - - 0 35,0.0,161.57426
10848066,4b2r/6Qp/2nR1p2/pqP1pk2/8/5P2/6PP/3R2K1 b - - 2 30,0.0,161.5698
12782075,5r1k/3n1q1r/5p2/1pPp4/3P1QR1/6RP/6PK/8 b - - 1 40,0.0,161.54604
10829488,4k1r1/2q1np1p/p4n2/N1P1pP2/P2p3b/3B2N1/1r3BKP/3RQR2 w - - 0 27,0.0,161.36658
11751792,5rk1/BR3pp1/4p2p/P3P3/2p1B2Q/b1P3PK/4qP1P/r7 w - - 0 34,0.614,161.21172
7198691,r7/pppb1k1p/nn6/2bP2p1/2P4q/PPB3N1/2Q2pPP/R4R1K b - - 2 23,0.0,161.19281
139865,4rbk1/R4ppp/2Nq1n2/3P1Q2/2PBp3/1p1n2P1/1P4BP/7K b - - 5 30,0.0,161.17218
10446762,4r1k1/1b3p1p/1q4p1/p1R1N3/P2PpQ2/6PP/1r3PBK/8 b - - 16 35,0.07400000000000001,160.80513
12383426,5r2/1r5k/3RR1pp/2pP4/1p3qn1/1Pb2NN1/2P2PP1/3Q2K1 b - - 0 34,0.0,160.34787
2718835,2b5/4Nkb1/pp1p1p1p/2qP2p1/P1p2r1P/3nR1N1/1P1Q1PP1/5RK1 b - - 5 35,0.16,160.27763
4650070,8/1Q6/P2p2pk/4n1qp/1P6/2r5/3rBPPP/R3R1K1 b - - 0 38,1.0,160.2373
6460142,6k1/2Q2p2/p4q2/1p3Pp1/1Pr3Bp/2p4P/P2r1pPK/2R2R2 w - - 3 34,0.414,160.21996
5685301,3r4/2r2k1p/2P2b1q/1P3Q2/2Rp1P2/8/3K1P1P/2R5 b - - 0 37,0.0,159.82614
6706533,5rk1/7p/p2rp3/4n1pN/2PbQ3/3p1pPP/P2q1P2/1R3RKB w - - 0 35,0.0,159.72948
513752,4rk2/1R2n2p/8/p1QPPpp1/5P2/1P4K1/P2q2BP/8 w - - 0 37,0.09,159.66826
13443926,8/1Q6/P2p2pk/4n1qp/1P6/8/2rrBPPP/R3RK2 b - - 2 39,0.0,159.48074
122316,5rk1/1p3p2/pq1Pp3/4PpNp/b1rP1QnP/8/2NK2P1/R1R5 w - - 10 27,0.0,159.0971
2921654,5rk1/3q1p1p/3N1bpQ/p3rN2/Ppp1B3/3p2P1/1PnB3P/5RK1 w - - 2 28,1.0,159.07076
