,fens,eval_move_final,preds_num
3062344,r1bq1rk1/pppp1pp1/1bn2n1p/1B2p3/3PP2B/2P2N2/PP3PPP/RN1Q1RK1 b - - 1 8,0.0,15.661303
6282870,r1bq1rk1/pppp1pp1/1bn2n1p/1B2p3/3PP2B/2P2N2/PP3PPP/RN1Q1RK1 b - - 1 8,0.0,15.661303
7181393,r1bq1rk1/pppp1pp1/1bn2n1p/1B2p3/3PP2B/2P2N2/PP3PPP/RN1Q1RK1 b - - 1 8,0.0,15.661303
13592730,r2qr1k1/pb1nbpp1/1p1ppn1p/8/3P3B/2P2N2/PP1NQPPP/1B1R1RK1 b - - 6 13,0.027999999999999997,15.661303
13200236,r1bq1rk1/pppp1pp1/1bn2n1p/1B2p3/3PP2B/2P2N2/PP3PPP/RN1Q1RK1 b - - 1 8,0.0,15.661303
2721836,r1bq1rk1/pppp1pp1/1bn2n1p/1B2p3/3PP2B/2P2N2/PP3PPP/RN1Q1RK1 b - - 1 8,0.0,15.661303
9824297,r1bq1rk1/pppp1pp1/1bn2n1p/1B2p3/3PP2B/2P2N2/PP3PPP/RN1Q1RK1 b - - 1 8,0.0,15.661303
5280040,r1bq1rk1/pppp1pp1/1bn2n1p/1B2p3/3PP2B/2P2N2/PP3PPP/RN1Q1RK1 b - - 1 8,0.0,15.661303
5716761,r1bq1rk1/pppp1pp1/1bn2n1p/1B2p3/3PP2B/2P2N2/PP3PPP/RN1Q1RK1 b - - 1 8,0.0,15.661303
7837778,r1bq1rk1/pppp1pp1/1bn2n1p/1B2p3/3PP2B/2P2N2/PP3PPP/RN1Q1RK1 b - - 1 8,0.0,15.661303
8400996,r3r1k1/pp2bppp/2p1pnn1/3q4/P1NP4/2PB1QB1/1P3PPP/R3R1K1 w - - 1 16,0.0,15.661288
7642479,2r3k1/1b3ppp/8/1p1p4/1b1Bn3/4PNP1/5P1P/4RBK1 w - - 0 26,0.0,15.661283
878707,r2q1rk1/2pbbppp/p4n2/1p2p1B1/4P3/1B6/PPP1QPPP/RN1R2K1 b - - 5 12,0.0,15.661275
5759165,2r2rk1/p1pn1qpp/1pQpp3/8/2PPR3/2P2P2/P2B2PP/5RK1 w - - 5 19,0.006,15.661275
9873472,3r4/p1p3p1/1b2Bk2/8/b1P5/2P1B3/P4P2/4R1K1 w - - 0 29,0.0,15.661273
209336,r1b1k2r/3n1ppp/p3p3/1p1pP3/1b1N4/2q1B3/PN1QB1PP/R2K3R b kq - 1 16,0.0,15.661273
12962233,r1bq1r2/2n2pbk/p2p1Ppp/2pP4/8/2P1BP2/P2QBNPP/R4RK1 b - - 0 17,0.0,15.661271
12119824,rn1r2k1/1bp2pp1/1p1ppq1p/p7/2PP4/3Q1NP1/PP2PPBP/R4RK1 w - - 4 15,0.042,15.661271
13910759,r1b2rk1/pp1nq1pp/2pbp2n/3p1p2/2PP4/1PNBPN2/PB3PPP/R1Q1K2R w KQ - 5 10,0.024,15.661269
7837640,r5k1/6pp/2pPbp2/Bq6/3P4/2Q5/5PPP/R5K1 w - - 1 33,0.006,15.661267
13121973,8/6pp/pB2p3/P2P3k/2bP3P/5PK1/3r2P1/2R5 b - - 0 35,0.0,15.661262
6065219,rn6/pp3pkp/2pqrbp1/8/3P1Q2/2N2N2/PP3PPP/R3R1K1 w - - 2 16,0.013999999999999999,15.661257
